2026-08-05 17:08:19.614[1785929899614] | INFO  | restartedMain | c.n.b.BinanceBackendApplication      - Starting BinanceBackendApplication using Java 21.0.12 with PID 1448 (D:\SDE-Projects\Navrasa\binanceBackend\target\classes started by ANKIT DOI in D:\SDE-Projects\Navrasa\binanceBackend)
2026-08-05 17:08:19.614[1785929899614] | INFO  | restartedMain | c.n.b.BinanceBackendApplication      - No active profile set, falling back to 1 default profile: "default"
2026-08-05 17:08:19.762[1785929899762] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-05 17:08:19.762[1785929899762] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-05 17:08:24.856[1785929904856] | INFO  | restartedMain | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port 8080 (http)
2026-08-05 17:08:24.877[1785929904877] | INFO  | restartedMain | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
2026-08-05 17:08:24.880[1785929904880] | INFO  | restartedMain | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2026-08-05 17:08:24.882[1785929904882] | INFO  | restartedMain | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-08-05 17:08:25.009[1785929905009] | INFO  | restartedMain | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2026-08-05 17:08:25.010[1785929905010] | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5247 ms
2026-08-05 17:08:25.819[1785929905819] | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer   - LiveReload server is running on port 35729
2026-08-05 17:08:25.848[1785929905848] | INFO  | restartedMain | o.a.coyote.http11.Http11NioProtocol  - Starting ProtocolHandler ["http-nio-8080"]
2026-08-05 17:08:25.899[1785929905899] | INFO  | restartedMain | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat started on port 8080 (http) with context path '/'
2026-08-05 17:08:25.919[1785929905919] | INFO  | restartedMain | c.n.b.BinanceBackendApplication      - Started BinanceBackendApplication in 7.14 seconds (process running for 9.457)
2026-08-05 17:10:13.397[1785930013397] | INFO  | http-nio-8080-exec-2 | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-05 17:10:13.397[1785930013397] | INFO  | http-nio-8080-exec-2 | o.s.web.servlet.DispatcherServlet    - Initializing Servlet 'dispatcherServlet'
2026-08-05 17:10:13.400[1785930013400] | INFO  | http-nio-8080-exec-2 | o.s.web.servlet.DispatcherServlet    - Completed initialization in 1 ms
2026-08-05 17:17:23.131[1785930443131] | INFO  | restartedMain | c.n.b.BinanceBackendApplication      - Starting BinanceBackendApplication using Java 21.0.12 with PID 8664 (D:\SDE-Projects\Navrasa\binanceBackend\target\classes started by ANKIT DOI in D:\SDE-Projects\Navrasa\binanceBackend)
2026-08-05 17:17:23.135[1785930443135] | INFO  | restartedMain | c.n.b.BinanceBackendApplication      - No active profile set, falling back to 1 default profile: "default"
2026-08-05 17:17:23.345[1785930443345] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-05 17:17:23.357[1785930443357] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-05 17:17:25.467[1785930445467] | INFO  | restartedMain | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port 8080 (http)
2026-08-05 17:17:25.491[1785930445491] | INFO  | restartedMain | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
